Zone_,Code zone (ISO3)_,TAS_V,TDI_V,M_V,crl_n,C_Vol,C_Viande,Q__Vol,D_ Kca,stabilite_politique,acces_leau,Population totale,pib
Afghanistan,AFG,56.0,58.0,36.0,403.0,64.0,333.0,28.0,52.55,-2.8,67.0,35643.418,2058.4
Angola,AGO,12.6,87.4,589.37,702.22,318.0,1138.17,40.0,174.13000000000002,-0.38,56.0,30208.628,7310.9
Albanie,ALB,39.4,60.6,52.34,424.17,33.0,132.47,13.0,244.03000000000003,0.38,94.0,2879.355,12771.0
Émirats arabes unis,ARE,11.6,94.7,877.34,1199.65,246.0,517.85,57.0,195.41,0.62,100.0,9068.296,67183.6
Argentine,ARG,110.1,0.4,104.59,22116.13,1962.0,4956.3099999999995,2162.0,635.4999999999999,0.17,87.6,44054.616,23597.1
Arménie,ARM,23.9,76.1,57.66,256.46,45.0,158.6,11.0,283.56999999999994,-0.62,100.0,2851.923,12115.1
Antigua-et-Barbuda,ATG,0.0,87.5,13.379999999999999,0.02,5.0,10.58,0.0,426.17,0.75,97.0,91.119,19840.3
Australie,AUS,102.1,1.3,651.5699999999999,6817.45,1245.0,3109.33,1271.0,507.1700000000001,0.9,100.0,24590.334,48398.5
Autriche,AUT,78.3,58.2,498.6,2441.89,160.0,815.98,148.0,382.36,1.05,100.0,8797.496,54173.0
Azerbaïdjan,AZE,78.2,20.3,66.74,1551.0,129.0,362.12,104.0,187.29999999999995,-0.75,94.0,10071.567,14121.4
Burundi,BDI,85.7,0.0,7.15,13.0,5.0,52.54,6.0,17.93,-2.01,61.0,11155.593,773.6
Belgique,BEL,551.2,371.4,925.0699999999999,3276.89,128.0,728.53,463.0,228.19,0.43,100.0,11384.489,50442.3
Bénin,BEN,11.3,91.1,211.54999999999998,573.77,124.0,342.86,14.0,83.72000000000001,0.03,65.0,11596.779,3044.5
Burkina Faso,BFA,100.0,0.0,138.58,93.25,42.0,385.08,42.0,81.71999999999998,-0.93,49.0,19835.858,2044.4
